"recogniser_version","fp","tp","overall_positive_detections","fn","recall","precision","fscore"
"v17",3156,86,123,37,0.699186991869919,0.02652683528686,0.0511144130757801
"v18",1267,83,123,40,0.67479674796748,0.0614814814814815,0.112695179904956
"v19",49,33,123,90,0.268292682926829,0.402439024390244,0.321951219512195
"v10",288,38,123,85,0.308943089430894,0.116564417177914,0.169265033407572
"v11",956,43,123,80,0.349593495934959,0.043043043043043,0.0766488413547237
"v13",38,31,123,92,0.252032520325203,0.449275362318841,0.322916666666667
"v09",22,18,123,105,0.146341463414634,0.45,0.220858895705522
