sighted,taken,trapped,sex_m,sex_f,lat,long,date,time
0,7,7,2,5,-18.02,145.4,2023-10-05,7:00:00 AM
7,7,0,4,3,17.96,145.4,2024-11-27,
1,1,0,0,1,-18,145.5,2023-10-09,4:00:00 PM
0,6,6,2,4,-17.89,145.33,2023-10-16,7:00:00 AM
0,6,6,3,3,-17.96,145.4,2023-10-16,8:00:00 AM
7,7,0,2,2,-17.99,145.45,2023-11-07,4:00:00 PM
0,1,1,1,0,-18.02,145.4,2024-11-29,9:00:00 AM
0,3,3,0,0,-17.95,145.27,2024-10-19,
0,4,4,1,0,-17.96,145.4,2024-10-16,
0,10,10,3,0,-18.02,145.4,2024-10-18,
0,11,11,3,0,-17.98,145.44,2024-10-16,
0,2,2,0,0,-17.98,145.44,2024-10-17,
6,1,0,0,0,-17.92,145.38,2024-10-14,4:20:00 PM
1,1,0,1,0,-17.98,145.44,2024-10-16,10:20:00 AM
2,1,0,0,0,-17.95,145.36,2024-10-19,9:00:00 AM
