"date","site","group","measured_temperature_average","measured_temperature_max","measured_temperature_min","silo_max_temperature","silo_min_temperature","silo_rain","Date2","lat","long","silo_average_temperature","month","predict_temp_avg","predict_temp_max","predict_temp_min","composite_temperature_max","composite_temperature_min","composite_temperature_avg"
2023-06-26,"site-a",10,NA,NA,NA,25.9,14,0.1,"26/06/2023",-17.95,145.4,19.95,6,17.5157125547621,28.4078100554394,10.4797100555961,28.4078100554394,10.4797100555961,17.5157125547621
2023-06-27,"site-a",10,NA,NA,NA,25.8,13.9,0,"27/06/2023",-17.95,145.4,19.85,6,17.3990081146481,28.2531746539368,10.3472208464967,28.2531746539368,10.3472208464967,17.3990081146481
2023-06-28,"site-a",10,NA,NA,NA,26.3,13.6,0,"28/06/2023",-17.95,145.4,19.95,6,17.5157125547621,29.0263516614498,9.94975321919867,29.0263516614498,9.94975321919867,17.5157125547621
2023-06-29,"site-a",10,NA,NA,NA,27,11.5,0,"29/06/2023",-17.95,145.4,19.25,6,16.6987814739637,30.108799471968,7.16747982811226,30.108799471968,7.16747982811226,16.6987814739637
2023-06-30,"site-a",10,NA,NA,NA,24.6,12.6,0,"30/06/2023",-17.95,145.4,18.6,6,15.9402026132223,26.3975498359056,8.62486112820514,26.3975498359056,8.62486112820514,15.9402026132223
2023-07-01,"site-a",10,NA,NA,NA,21.5,15.4,1.5,"1/07/2023",-17.95,145.4,18.45,7,15.8439995810447,20.8872529060293,12.3208576609383,20.8872529060293,12.3208576609383,15.8439995810447
2023-07-02,"site-a",10,NA,NA,NA,23.4,16.1,2.6,"2/07/2023",-17.95,145.4,19.75,7,17.3611573025275,23.8253255345787,13.2482821246337,23.8253255345787,13.2482821246337,17.3611573025275
2023-07-03,"site-a",10,NA,NA,NA,23.2,16.6,1.8,"3/07/2023",-17.95,145.4,19.9,7,17.5362139626986,23.5160547315735,13.9107281701305,23.5160547315735,13.9107281701305,17.5362139626986
2023-07-04,"site-a",10,NA,NA,NA,22.8,18,0.9,"4/07/2023",-17.95,145.4,20.4,7,18.1197361632688,22.8975131255631,15.7655770975214,22.8975131255631,15.7655770975214,18.1197361632688
2023-07-05,"site-a",10,NA,NA,NA,26.5,18.1,9.1,"5/07/2023",-17.95,145.4,22.3,7,20.337120525436,28.6190229811593,15.8980663066208,28.6190229811593,15.8980663066208,20.337120525436
2023-07-06,"site-a",10,NA,NA,NA,27.9,16.3,0.1,"6/07/2023",-17.95,145.4,22.1,7,20.1037116452078,30.7839186021957,13.5132605428324,30.7839186021957,13.5132605428324,20.1037116452078
2023-07-07,"site-a",10,NA,NA,NA,23.2,16.7,0.3,"7/07/2023",-17.95,145.4,19.95,7,17.5945661827556,23.5160547315735,14.0432173792299,23.5160547315735,14.0432173792299,17.5945661827556
2023-07-08,"site-a",10,NA,NA,NA,22.9,14.1,0.1,"8/07/2023",-17.95,145.4,18.5,7,15.9023518011017,23.0521485270657,10.5984979426467,23.0521485270657,10.5984979426467,15.9023518011017
2023-07-09,"site-a",10,NA,NA,NA,22.9,13.2,0,"9/07/2023",-17.95,145.4,18.05,7,15.3771818205885,23.0521485270657,9.40609506075249,23.0521485270657,9.40609506075249,15.3771818205885
2023-07-10,"site-a",10,NA,NA,NA,22.7,11.2,0.1,"10/07/2023",-17.95,145.4,16.95,7,14.0934329793338,22.7428777240605,6.75631087876543,22.7428777240605,6.75631087876543,14.0934329793338
2023-07-11,"site-a",10,NA,NA,NA,22.7,14.9,0.1,"11/07/2023",-17.95,145.4,18.8,7,16.2524651214439,22.7428777240605,11.6584116154415,22.7428777240605,11.6584116154415,16.2524651214439
2023-07-12,"site-a",10,NA,NA,NA,23.5,14.6,0,"12/07/2023",-17.95,145.4,19.05,7,16.5442262217291,23.9799609360813,11.2609439881434,23.9799609360813,11.2609439881434,16.5442262217291
2023-07-13,"site-a",10,18.3555681818182,22.624,15.11,22.6,15.9,1.6,"13/07/2023",-17.95,145.4,19.25,7,16.7776351019572,22.5882423225579,12.983303706435,22.624,15.11,18.3555681818182
2023-07-14,"site-a",10,17.1319097222222,22.123,14.608,23,15.9,4.4,"14/07/2023",-17.95,145.4,19.45,7,17.0110439821853,23.2067839285683,12.983303706435,22.123,14.608,17.1319097222222
2023-07-15,"site-a",10,16.3314930555556,20.621,13.104,22.5,15,1.4,"15/07/2023",-17.95,145.4,18.75,7,16.1941129013869,22.4336069210553,11.7909008245408,20.621,13.104,16.3314930555556
2023-07-16,"site-a",10,16.3900833333333,22.624,12.1,23,14.4,3.5,"16/07/2023",-17.95,145.4,18.7,7,16.1357606813299,23.2067839285683,10.9959655699447,22.624,12.1,16.3900833333333
2023-07-17,"site-a",10,17.5482361111111,24.625,11.598,23.6,16,3.3,"17/07/2023",-17.95,145.4,19.8,7,17.4195095225845,24.1345963375839,13.1157929155344,24.625,11.598,17.5482361111111
2023-07-18,"site-a",10,17.5728680555556,24.625,12.1,23.1,16.4,0,"18/07/2023",-17.95,145.4,19.75,7,17.3611573025275,23.3614193300709,13.6457497519318,24.625,12.1,17.5728680555556
2023-07-19,"site-a",10,16.1617986111111,25.125,9.088,24,14.5,0,"19/07/2023",-17.95,145.4,19.25,7,16.7776351019572,24.7531379435943,11.1284547790441,25.125,9.088,16.1617986111111
2023-07-20,"site-a",10,16.7294791666667,25.625,11.097,23.9,15.4,0,"20/07/2023",-17.95,145.4,19.65,7,17.2444528624134,24.5985025420917,12.3208576609383,25.625,11.097,16.7294791666667
2023-07-21,"site-a",10,15.9830555555556,25.625,8.586,24.4,14.3,0,"21/07/2023",-17.95,145.4,19.35,7,16.8943395420712,25.3716795496047,10.8634763608454,25.625,8.586,15.9830555555556
