"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 12,"dry",1.991096e+00,2,0,25.32787,0.074846113,0.068779311,0.012132124,0.364582691
 12,"early_dry",3.383408e+00,4,0,29.93835,0.118582233,0.118755743,0.022027101,0.531669997
 12,"late_dry",2.734422e-01,5,1,29.76344,0.044213243,0.067441879,0.003272647,0.504116879
 12,"late_wet",4.597480e+01,2,0,37.58163,0.219685272,0.131127630,0.063080011,0.551992741
 12,"wet",1.414989e+01,5,1,36.67234,0.093769205,0.123751904,0.010798547,0.601408087
 13,"dry",1.062219e+01,1,0,25.97479,0.070784254,0.057786356,0.013534146,0.299174921
 13,"early_dry",1.851421e+00,2,0,28.69612,0.120711733,0.088042315,0.028099514,0.410734403
 13,"late_dry",3.463012e-01,1,0,29.62798,0.041118211,0.034385277,0.007723573,0.191695105
 13,"late_wet",3.596142e+01,5,0,38.41448,0.226923738,0.225263225,0.047642267,0.675105972
 13,"wet",1.108757e+02,3,0,33.56108,0.078858473,0.070486456,0.016075762,0.365825589
 14,"dry",5.466833e+00,3,0,25.67205,0.074406166,0.078635001,0.010355039,0.430718477
 14,"early_dry",2.178224e+01,2,0,33.27751,0.099723573,0.073006287,0.023448738,0.353345793
 14,"late_dry",3.829145e-01,3,0,31.31845,0.039997152,0.042961216,0.005383721,0.282052231
 14,"late_wet",5.167873e+01,1,0,36.21026,0.223041017,0.112355882,0.075575768,0.502947480
 14,"wet",7.639352e+01,0,0,34.98840,0.078035580,0.039708551,0.027957844,0.199530712
 15,"dry",9.243483e+00,0,1,24.31694,0.075602746,0.072527227,0.011703931,0.387521476
 15,"early_dry",1.338534e+01,1,0,32.10438,0.104029094,0.062920177,0.030157138,0.303789395
 15,"late_dry",2.555820e-01,0,0,29.00588,0.041441769,0.033571800,0.008199508,0.184373850
 15,"late_wet",4.839459e+01,4,0,37.21352,0.226030578,0.193192309,0.050082340,0.655899500
 15,"wet",4.522665e+01,1,1,33.86836,0.090067209,0.071295892,0.020601146,0.362918666
 16,"dry",2.981352e+00,4,0,26.61600,0.073648548,0.089701885,0.009130375,0.492066467
 16,"early_dry",1.744692e+01,1,0,29.11745,0.113421778,0.070677479,0.031765218,0.333703583
 16,"late_dry",2.018397e-01,4,0,31.41615,0.040479315,0.049990471,0.004800382,0.358520956
 16,"late_wet",2.920047e+01,0,1,38.71442,0.218994045,0.152434804,0.055817047,0.600181162
 16,"wet",1.219105e+02,4,0,33.44424,0.078481233,0.085325693,0.013602865,0.443764074
 17,"dry",6.122854e+00,3,1,24.72996,0.078145960,0.091749715,0.008052975,0.506559170
 17,"early_dry",1.970617e+01,2,1,31.21956,0.108956641,0.102492077,0.017395479,0.490157021
 17,"late_dry",3.587592e-03,2,0,30.12847,0.041037241,0.038204863,0.006588025,0.226187742
 17,"late_wet",3.390190e+01,4,0,38.82462,0.222760615,0.190759831,0.049479944,0.650293456
 17,"wet",7.816904e+01,3,0,37.27326,0.075498492,0.066785478,0.015673534,0.350748128
 18,"dry",9.624273e+00,3,0,24.14134,0.077492052,0.081968001,0.010701669,0.443081550
 18,"early_dry",1.689361e+01,5,0,33.31038,0.105017527,0.126568087,0.017596492,0.544478639
 18,"late_dry",1.934219e-03,4,0,30.33900,0.041943159,0.051345410,0.005062020,0.364360699
 18,"late_wet",2.880455e+01,1,0,36.82146,0.229618326,0.112396338,0.079670644,0.508064097
 18,"wet",7.106814e+01,1,0,34.09891,0.082428708,0.045612568,0.027052682,0.226881056
 19,"dry",1.770415e+00,2,0,24.96605,0.075784502,0.069659777,0.012267138,0.368203314
 19,"early_dry",2.149816e+01,1,1,31.40652,0.106478125,0.091784238,0.020578654,0.441281240
 19,"late_dry",5.223416e-01,1,0,31.85931,0.038182148,0.032283805,0.007075696,0.181489213
 19,"late_wet",4.280028e+01,3,0,37.21085,0.225929189,0.161841475,0.055947408,0.617294540
 19,"wet",5.355208e+01,4,0,34.89001,0.087306529,0.086033814,0.018679223,0.441811347
 20,"dry",1.012240e+01,1,0,26.77374,0.069063675,0.056545408,0.013164369,0.293889592
 20,"early_dry",2.306119e+00,3,1,30.47180,0.117551632,0.122419385,0.015884052,0.571581880
 20,"late_dry",5.664061e-02,5,0,32.22058,0.040070341,0.056981066,0.004285382,0.426681932
 20,"late_wet",4.194856e+01,0,0,38.89557,0.208792853,0.094842060,0.078970918,0.448182997
 20,"wet",4.590493e+01,2,0,32.61629,0.093111813,0.062091859,0.025659959,0.308256574
 21,"dry",4.417682e+00,2,1,26.58632,0.072799608,0.077241892,0.008887994,0.426797459
 21,"early_dry",1.994230e+01,1,1,31.72887,0.105753559,0.091104003,0.020458464,0.439065923
 21,"late_dry",2.198013e-01,2,0,29.87253,0.041367954,0.038491459,0.006645822,0.227622795
 21,"late_wet",4.578216e+01,4,1,38.88511,0.220722469,0.226920816,0.029533165,0.746719710
 21,"wet",1.039661e+02,5,0,35.23830,0.078118771,0.097582875,0.013221552,0.488370287
 22,"dry",5.122848e+00,4,0,26.01874,0.074680097,0.090662670,0.009309554,0.494975667
 22,"early_dry",1.916440e+01,1,0,30.03437,0.109643449,0.067241358,0.031284819,0.320749449
 22,"late_dry",3.768894e-01,3,0,32.37648,0.038673300,0.042012933,0.005091884,0.277758635
 22,"late_wet",3.439260e+01,2,0,37.01625,0.228371297,0.134468867,0.066325045,0.564467117
 22,"wet",1.292899e+01,3,1,35.72680,0.094286267,0.095496743,0.014028719,0.487449351
 23,"dry",4.539452e+00,3,1,25.86786,0.075528522,0.088770278,0.007782619,0.496118918
 23,"early_dry",1.731524e+01,4,0,29.97187,0.114782036,0.116016072,0.021130713,0.523543834
 23,"late_dry",3.898330e-01,0,1,31.51778,0.038845134,0.041092209,0.005335247,0.269981668
 23,"late_wet",4.327358e+01,5,0,36.51761,0.235383439,0.231085295,0.049440336,0.687554943
 23,"wet",5.115354e+01,2,0,35.48464,0.083867147,0.056543796,0.022889821,0.284657260
 24,"dry",1.489807e+00,2,0,26.88847,0.071256230,0.065856072,0.011474552,0.352599656
 24,"early_dry",9.134157e+00,1,0,29.51760,0.114102696,0.070232457,0.032349601,0.332827710
 24,"late_dry",4.577994e-01,5,0,31.36272,0.041131751,0.057956951,0.004498100,0.429893245
 24,"late_wet",5.490446e+01,2,1,38.38337,0.214728530,0.173953406,0.039708714,0.657662017
 24,"wet",1.096923e+02,5,0,34.09998,0.080016302,0.099634201,0.013563504,0.493648656
 25,"dry",6.833735e+00,4,0,25.91171,0.074631815,0.090627226,0.009300556,0.494829297
 25,"early_dry",2.264268e+00,0,1,30.29091,0.113873879,0.094812472,0.024104120,0.450171742
 25,"late_dry",3.191307e-01,5,1,29.02499,0.045336819,0.068960958,0.003375652,0.510018153
 25,"late_wet",4.742621e+01,5,0,36.37275,0.234412870,0.231079540,0.048818677,0.687406507
 25,"wet",9.084860e+01,2,0,36.97290,0.072922748,0.053850128,0.017537954,0.272360439
 26,"dry",8.612049e+00,1,0,26.06411,0.070924724,0.057872326,0.013569716,0.299547639
