"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 12,"dry",1.991096e+00,2,0,25.32787,0.09621861,0.05125827,0.03280081,0.25087740
 12,"early_dry",3.383408e+00,4,0,29.93835,0.15510123,0.06836130,0.06874734,0.32352239
 12,"late_dry",2.734422e-01,5,1,29.76344,0.28863544,0.12980410,0.12442896,0.54726807
 12,"late_wet",4.597480e+01,2,0,37.58163,0.10911771,0.04618717,0.04698571,0.23472975
 12,"wet",1.414989e+01,5,1,36.67234,0.11751157,0.07972477,0.03822162,0.33472568
 13,"dry",1.062219e+01,1,0,25.97479,0.09199064,0.04755184,0.03223731,0.23554736
 13,"early_dry",1.851421e+00,2,0,28.69612,0.15662708,0.05734271,0.07600013,0.29702425
 13,"late_dry",3.463012e-01,1,0,29.62798,0.27219524,0.07274464,0.15548734,0.43162363
 13,"late_wet",3.596142e+01,5,0,38.41448,0.11308330,0.06583256,0.04126726,0.28805313
 13,"wet",1.108757e+02,3,0,33.56108,0.12927173,0.05123399,0.06047320,0.26242765
 14,"dry",5.466833e+00,3,0,25.67205,0.09704423,0.05504013,0.03149771,0.26419875
 14,"early_dry",2.178224e+01,2,0,33.27751,0.13147097,0.05102027,0.06294635,0.25584347
 14,"late_dry",3.829145e-01,3,0,31.31845,0.26494044,0.08445220,0.13878564,0.44598012
 14,"late_wet",5.167873e+01,1,0,36.21026,0.11352531,0.04497879,0.05094539,0.23409954
 14,"wet",7.639352e+01,0,0,34.98840,0.11380423,0.03691456,0.05911783,0.20791639
 15,"dry",9.243483e+00,0,1,24.31694,0.09705132,0.05581847,0.03158263,0.27693984
 15,"early_dry",1.338534e+01,1,0,32.10438,0.13432371,0.04513298,0.06874752,0.24638859
 15,"late_dry",2.555820e-01,0,0,29.00588,0.27434785,0.07426198,0.15762681,0.43264672
 15,"late_wet",4.839459e+01,4,0,37.21352,0.11588530,0.05904120,0.04504218,0.27826799
 15,"wet",4.522665e+01,1,1,33.86836,0.12042432,0.05226090,0.05461752,0.27348873
 16,"dry",2.981352e+00,4,0,26.61600,0.09568487,0.05957100,0.02908648,0.27646248
 16,"early_dry",1.744692e+01,1,0,29.11745,0.15178808,0.05058443,0.07759928,0.27586158
 16,"late_dry",2.018397e-01,4,0,31.41615,0.26858641,0.09488479,0.13439008,0.46188885
 16,"late_wet",2.920047e+01,0,1,38.71442,0.09958597,0.04939809,0.03994139,0.25398288
 16,"wet",1.219105e+02,4,0,33.44424,0.13314307,0.05908721,0.05920659,0.28628608
