"index","season_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 14,"early_dry",5,1,30.40320,0.30946886,0.24811513,0.04864615,0.76816461
 14,"late_dry",4,1,30.70406,0.37703488,0.23504084,0.08371317,0.79334749
 14,"late_wet",0,1,36.81852,0.16446484,0.10525865,0.05236355,0.47442329
 14,"wet",2,0,33.28748,0.16074531,0.07711756,0.06465165,0.35127164
 15,"dry",0,0,24.07537,0.16134915,0.06221882,0.07279893,0.32065630
 15,"early_dry",4,1,29.92747,0.28802050,0.20447299,0.05852063,0.71678721
 15,"late_dry",0,0,29.12140,0.32115988,0.09045883,0.17390800,0.51522650
 15,"late_wet",2,0,38.38634,0.20988756,0.10921412,0.07454835,0.46092479
 15,"wet",1,0,33.39839,0.14328926,0.04956516,0.07196079,0.26581608
 16,"dry",5,0,26.25208,0.24757487,0.23257769,0.04329355,0.63610771
 16,"early_dry",0,0,29.64435,0.22532796,0.05547933,0.13540374,0.35072551
 16,"late_dry",4,1,31.83244,0.36228067,0.23194171,0.07860812,0.78257358
 16,"late_wet",4,0,36.38549,0.27863847,0.20649240,0.06448414,0.64243675
 16,"wet",1,0,36.16060,0.12539911,0.04770605,0.06039659,0.24219899
 17,"dry",1,0,25.63463,0.16574662,0.06919274,0.07077840,0.34266149
 17,"early_dry",3,0,30.56115,0.28720936,0.15536584,0.10094197,0.57637915
 17,"late_dry",2,0,30.24024,0.36172575,0.13992897,0.15575637,0.62679835
 17,"late_wet",5,0,38.63488,0.28213941,0.25434685,0.04903911,0.67033845
 17,"wet",5,0,35.45063,0.20621765,0.20741016,0.03750170,0.58431369
 18,"dry",0,0,25.87062,0.14773248,0.05651900,0.06725010,0.29437622
 18,"early_dry",5,0,33.22608,0.31274119,0.25877937,0.06499932,0.67041825
 18,"late_dry",2,0,31.79005,0.34188794,0.13938350,0.14317956,0.60719832
 18,"late_wet",1,0,36.87960,0.20235237,0.07995272,0.08941981,0.39527353
 18,"wet",1,1,34.05225,0.12260161,0.07395706,0.04208376,0.35543319
 19,"dry",1,0,25.37143,0.16780875,0.06982955,0.07169483,0.34635376
 19,"early_dry",3,0,29.74857,0.29641545,0.15706808,0.10511209,0.58792151
 19,"late_dry",4,1,29.56034,0.39228411,0.23852748,0.08880706,0.80468680
 19,"late_wet",2,0,37.86095,0.21466977,0.10990870,0.07707703,0.46684647
 19,"wet",2,1,36.37568,0.12061689,0.07993247,0.03331298,0.37480125
 20,"dry",5,0,24.82556,0.26139895,0.23808340,0.04697791,0.65304621
 20,"early_dry",2,0,31.31916,0.25336882,0.10682013,0.11109550,0.47669168
 20,"late_dry",5,0,32.32222,0.42230595,0.28143079,0.09447850,0.75816154
 20,"late_wet",5,0,36.13857,0.30889220,0.26181040,0.05765883,0.69375742
 20,"wet",0,0,34.17247,0.12389760,0.03601416,0.06873817,0.21318708
 21,"dry",5,1,25.35061,0.22455216,0.19746074,0.03482649,0.66755871
 21,"early_dry",3,0,29.42678,0.30012672,0.15785956,0.10664498,0.59282971
 21,"late_dry",1,1,30.10553,0.30342654,0.15552827,0.10867006,0.64110989
 21,"late_wet",5,1,38.72547,0.24740099,0.22729788,0.03263457,0.72767991
 21,"wet",3,1,36.79403,0.13223939,0.09928139,0.02918433,0.44006506
 22,"dry",4,0,26.30705,0.22226984,0.17962397,0.04901229,0.57504117
 22,"early_dry",1,0,29.37834,0.25010335,0.07326360,0.13638691,0.41349346
 22,"late_dry",5,0,30.75637,0.44312789,0.28052136,0.10447147,0.77063437
 22,"late_wet",1,0,37.15647,0.19984317,0.07946509,0.08807344,0.39170492
 22,"wet",3,0,35.40522,0.16380122,0.11075329,0.04919548,0.42525593
