"dt","site","n_detections_per_site_date_time","sp","source"
"20231203T050000+1000","site-d",50,"pig","recogniser"
"20231203T060000+1000","site-d",10,"pig","recogniser"
"20231203T180000+1000","site-e",1,"pig","recogniser"
"20231204T020000+1000","site-d",1,"pig","recogniser"
"20231209T210000+1000","site-b2",3,"pig","recogniser"
"20231212T060000+1000","site-c",1,"pig","recogniser"
"20231212T220000+1000","site-b2",2,"pig","recogniser"
"20231214T200000+1000","site-i",1,"pig","recogniser"
"20231216T060000+1000","site-i",1,"pig","recogniser"
"20231219T000000+1000","site-g",1,"pig","recogniser"
"20231225T230000+1000","site-d",1,"pig","recogniser"
"20231231T190000+1000","site-e",1,"pig","recogniser"
"20240202T050000+1000","site-d",1,"pig","recogniser"
"20240207T150000+1000","site-d",3,"pig","recogniser"
"20240225T170000+1000","site-e",3,"pig","recogniser"
"20240225T180000+1000","site-e",2,"pig","recogniser"
"20240226T120000+1000","site-c",1,"pig","recogniser"
"20240307T170000+1000","site-c",18,"pig","recogniser"
"20240312T050000+1000","site-b2",39,"pig","recogniser"
"20240317T170000+1000","site-i",1,"pig","recogniser"
"20240318T180000+1000","site-e",22,"pig","recogniser"
"20240320T130000+1000","site-c",3,"pig","recogniser"
"20240329T110000+1000","site-c",3,"pig","recogniser"
"20240331T000000+1000","site-g",1,"pig","recogniser"
"20240331T070000+1000","site-d",1,"pig","recogniser"
"20240401T120000+1000","site-i",9,"pig","recogniser"
"20240401T180000+1000","site-e",9,"pig","recogniser"
"20240402T170000+1000","site-e",2,"pig","recogniser"
"20240425T160000+1000","site-c",43,"pig","recogniser"
"20240511T120000+1000","site-h",15,"pig","recogniser"
"20240517T150000+1000","site-e",3,"pig","recogniser"
"20240517T160000+1000","site-e",11,"pig","recogniser"
"20240519T120000+1000","site-e",2,"pig","recogniser"
"20240519T130000+1000","site-e",46,"pig","recogniser"
"20240519T140000+1000","site-e",2,"pig","recogniser"
"20240519T150000+1000","site-b2",3,"pig","recogniser"
"20240531T170000+1000","site-b2",1,"pig","recogniser"
"20240601T070000+1000","site-b2",1,"pig","recogniser"
"20240601T080000+1000","site-b2",1,"pig","recogniser"
"20240601T110000+1000","site-b2",1,"pig","recogniser"
"20240602T150000+1000","site-g",1,"pig","recogniser"
"20240603T150000+1000","site-b2",1,"pig","recogniser"
"20240604T070000+1000","site-b2",1,"pig","recogniser"
"20240604T080000+1000","site-b2",2,"pig","recogniser"
"20240604T080000+1000","site-d",1,"pig","recogniser"
"20240604T090000+1000","site-b2",3,"pig","recogniser"
"20240606T160000+1000","site-b2",13,"pig","recogniser"
"20240607T020000+1000","site-b2",1,"pig","recogniser"
"20240607T060000+1000","site-b2",6,"pig","recogniser"
"20240607T070000+1000","site-b2",2,"pig","recogniser"
"20240607T080000+1000","site-b2",17,"pig","recogniser"
"20240607T090000+1000","site-b2",5,"pig","recogniser"
